iter	RMSE
0	77995310.69
1	73482320.41
2	69437374.98
3	65720836.11
4	62419697.04
5	59560627.19
6	57018259.08
7	54946526.13
8	53240892.17
9	51642920.95
10	50265942.31
11	49077721.12
12	47922626.48
13	46980221.93
14	46090122.89
15	45356456.66
16	44721209.87
17	44143710.56
18	43416992.72
19	42760625.11
20	42222434.82
21	41668736.14
22	41202642.89
23	40587017.5
24	40218653.8
25	39871538.49
26	39517911.96
27	39125617.3
28	38826611.35
29	38526576.38
30	38233553.03
31	37953118.08
32	37683814.79
33	37401644.36
34	37216591.62
35	37134967.66
36	36894532.88
37	36644325.72
38	36482912.9
39	36260404.75
40	36080628.35
41	35919219.99
42	35745402.76
43	35649990.28
44	35561936.31
45	35364909.94
46	35123558.4
47	35082147.44
48	35002665.78
49	34866443.19
50	34807836.57
51	34721168.87
52	34596492.48
53	34477665.12
54	34361421.88
55	34313674.72
56	34173187.02
57	34055637.69
58	34022967.62
59	33882105.28
60	33832376.93
61	33790404.67
62	33730848.12
63	33657481.19
64	33548495.82
65	33429211.05
66	33327808.92
67	33256293.24
68	33220360.4
69	33193148.55
70	33176847.27
71	33054815.79
72	32984067.73
73	32902744.75
74	32843783.46
75	32765054.37
76	32690612.42
77	32566468.43
78	32546116.31
79	32453553.09
80	32433801.16
81	32349710.52
82	32261040.63
83	32219534.53
84	32136411.15
85	32091944.46
86	32060719.84
87	32022516.66
88	31953101.89
89	31950667.28
90	31868020.98
91	31790502.28
92	31763588.09
93	31657231.05
94	31579036.29
95	31526892.69
96	31475820.32
97	31462062.04
98	31460075.32
99	31418740.88
100	31405265.65
101	31360902.92
102	31289149
103	31213958.53
104	31091972.86
105	31036155.54
106	30961092.31
107	30879794.83
108	30871902.74
109	30752540.79
110	30686263.71
111	30624201.3
112	30554950.93
113	30487669.38
114	30445213.97
115	30337567.44
116	30293766.35
117	30207148.45
118	30103254.11
119	29991242.59
120	29937600.02
121	29868861.53
122	29821532.23
123	29684884.33
124	29619817.04
125	29547664.75
126	29511758.43
127	29458424.48
128	29377045.79
129	29308080.51
130	29251564.73
131	29184877.12
132	29105970.44
133	29061472.13
134	28993265.17
135	28945184.31
136	28926516.06
137	28873449.88
138	28820108.73
139	28760553.97
140	28713172.02
141	28687727.52
142	28621096.13
143	28577635.52
144	28550302.15
145	28510181.16
146	28471002.67
147	28442276.64
148	28387802.06
149	28346507.76
150	28295972.66
151	28262053.88
152	28224165.18
153	28214233.68
154	28159976.42
155	28117321.96
156	28067200.88
157	28035245.41
158	27980564.27
159	27895748.81
160	27859063.11
161	27828348.33
162	27793156.82
163	27749136.53
164	27677892.84
165	27603621.72
166	27536309.38
167	27482390.05
168	27451528.7
169	27439214.46
170	27409692.41
171	27379430.1
172	27368723.16
173	27348377.94
174	27280750.04
175	27231651.88
176	27161911.47
177	27119730.61
178	27110492.35
179	27077664.75
180	27054684.99
181	27031678.8
182	26993192.06
183	26977427.25
184	26936090.71
185	26926629.86
186	26874574.73
187	26815659.05
188	26801962.1
189	26739608.82
190	26700100.14
191	26641402.84
192	26629948.41
193	26619808.98
194	26611270.88
195	26598706.04
196	26566019.06
197	26529613.85
198	26497004.03
199	26452886.22
200	26418585.36
201	26388966.72
202	26315802.09
203	26287750.67
204	26252980.26
205	26240751.57
206	26184992.73
207	26159264.65
208	26122731.18
209	26090508.67
210	26085993.63
211	26007789.52
212	25983271.66
213	25948738.29
214	25906109.39
215	25897085.9
216	25880285.75
217	25852866.68
218	25825912.21
219	25799953.21
220	25775898.78
221	25719483.57
222	25691928.94
223	25662781.07
224	25658687.17
225	25637876.24
226	25596438.98
227	25548074.38
228	25508115.87
229	25461989.64
230	25417749.3
231	25404053.56
232	25364685.02
233	25353241.7
234	25314105.83
235	25294238.04
236	25258970.36
237	25201147.21
238	25156254.25
239	25145841.72
240	25125316.55
241	25117297.04
242	25071287.51
243	25014612.79
244	24993112.77
245	24977322.23
246	24969109.66
247	24939439.66
248	24930564.03
