iter	Passed	Remaining
0	30	30500
1	62	31184
2	94	31546
3	124	31037
4	154	30775
5	185	30801
6	212	30129
7	235	29192
8	258	28467
9	283	28023
10	307	27673
11	331	27286
12	356	27072
13	382	26970
14	404	26577
15	427	26298
16	462	26739
17	490	26759
18	530	27406
19	556	27280
20	585	27301
21	615	27360
22	640	27204
23	662	26950
24	688	26857
25	714	26761
26	740	26672
27	766	26625
28	790	26483
29	814	26340
30	838	26202
31	863	26121
32	889	26053
33	915	26018
34	941	25948
35	968	25940
36	996	25927
37	1023	25913
38	1049	25854
39	1084	26028
40	1117	26129
41	1151	26269
42	1184	26367
43	1210	26291
44	1234	26191
45	1257	26072
46	1281	25978
47	1311	26009
48	1337	25963
49	1369	26019
50	1396	25987
51	1425	25980
52	1450	25914
53	1477	25879
54	1505	25868
55	1533	25858
56	1564	25890
57	1593	25875
58	1621	25865
59	1646	25800
60	1670	25710
61	1694	25633
62	1720	25588
63	1747	25553
64	1773	25506
65	1802	25505
66	1829	25472
67	1856	25438
68	1881	25386
69	1910	25381
70	1937	25346
71	1965	25333
72	1992	25305
73	2022	25312
74	2048	25266
75	2075	25239
76	2104	25229
77	2140	25301
78	2174	25350
79	2202	25330
80	2232	25324
81	2258	25281
82	2286	25257
83	2314	25240
84	2342	25214
85	2368	25171
86	2392	25110
87	2421	25097
88	2450	25078
89	2463	24912
90	2491	24886
91	2518	24854
92	2551	24879
93	2578	24853
94	2606	24828
95	2634	24803
96	2661	24776
97	2688	24748
98	2704	24609
99	2731	24580
100	2759	24558
101	2788	24553
102	2816	24528
103	2843	24496
104	2869	24462
105	2896	24427
106	2922	24389
107	2950	24365
108	2976	24331
109	3007	24333
110	3035	24308
111	3068	24329
112	3096	24306
113	3127	24303
114	3159	24317
115	3190	24314
116	3218	24286
117	3247	24274
118	3275	24249
119	3302	24221
120	3327	24172
121	3355	24146
122	3382	24118
123	3412	24105
124	3439	24074
125	3467	24051
126	3496	24034
127	3524	24010
128	3551	23980
129	3579	23955
130	3606	23921
131	3643	23960
132	3687	24040
133	3718	24031
134	3744	23992
135	3777	23995
136	3805	23971
137	3835	23960
138	3864	23936
139	3893	23917
140	3919	23877
141	3947	23853
142	3976	23828
143	4006	23818
144	4033	23781
145	4059	23744
146	4085	23707
147	4114	23683
148	4142	23657
149	4170	23631
150	4196	23595
151	4224	23568
152	4249	23524
153	4276	23493
154	4303	23461
155	4328	23415
156	4354	23380
157	4381	23350
158	4409	23320
159	4435	23287
160	4461	23248
161	4489	23224
162	4515	23184
163	4544	23166
164	4570	23128
165	4599	23109
166	4625	23073
167	4650	23032
168	4674	22986
169	4702	22957
170	4728	22922
171	4754	22889
172	4779	22846
173	4807	22820
174	4832	22783
175	4858	22748
176	4883	22705
177	4907	22660
178	4930	22616
179	4955	22576
180	4979	22529
181	5005	22496
182	5030	22460
183	5056	22425
184	5082	22390
185	5108	22358
186	5139	22342
187	5169	22327
188	5195	22291
189	5221	22261
190	5246	22222
191	5272	22190
192	5316	22228
193	5345	22206
194	5369	22168
195	5394	22126
196	5420	22096
197	5447	22063
198	5470	22017
199	5497	21988
200	5523	21955
201	5543	21901
202	5567	21858
203	5593	21824
204	5621	21800
205	5646	21765
206	5673	21734
207	5699	21700
208	5726	21673
209	5763	21683
210	5800	21691
211	5829	21667
212	5856	21638
213	5881	21600
214	5906	21564
215	5934	21541
216	5970	21543
217	5999	21522
218	6023	21482
219	6048	21444
220	6071	21401
221	6107	21402
222	6139	21390
223	6167	21365
224	6193	21333
225	6217	21293
226	6243	21262
227	6271	21233
228	6297	21202
229	6325	21178
230	6363	21183
231	6403	21196
232	6430	21166
233	6457	21139
234	6482	21103
235	6508	21070
236	6535	21041
237	6562	21009
238	6589	20980
239	6615	20949
240	6642	20919
241	6668	20886
242	6690	20843
243	6716	20810
244	6742	20776
245	6767	20743
246	6799	20729
247	6827	20703
248	6855	20677
249	6884	20653
250	6911	20625
251	6937	20593
252	6959	20549
253	6984	20514
254	7010	20482
255	7032	20437
256	7056	20401
257	7083	20372
258	7138	20422
259	7169	20405
260	7198	20380
261	7227	20359
262	7257	20337
263	7285	20311
264	7313	20284
265	7340	20254
266	7367	20226
267	7394	20196
268	7419	20162
269	7447	20135
270	7475	20108
271	7502	20079
272	7528	20047
273	7554	20016
274	7582	19988
275	7608	19958
276	7634	19926
277	7661	19898
278	7687	19866
279	7713	19835
280	7739	19804
281	7767	19776
282	7796	19752
283	7824	19726
284	7855	19707
285	7885	19685
286	7909	19650
287	7937	19623
288	7966	19598
289	7999	19585
290	8028	19560
291	8053	19526
292	8079	19496
293	8109	19472
294	8137	19447
295	8165	19420
296	8192	19392
297	8214	19352
298	8242	19324
299	8271	19300
300	8298	19272
301	8326	19244
302	8351	19211
303	8376	19177
304	8404	19150
305	8432	19124
306	8457	19091
307	8485	19064
308	8512	19035
309	8545	19021
310	8574	18996
311	8604	18973
312	8628	18938
313	8653	18906
314	8677	18870
315	8703	18838
316	8725	18800
317	8749	18765
318	8775	18733
319	8801	18704
320	8828	18675
321	8855	18645
322	8880	18613
323	8907	18585
324	8937	18563
325	8968	18541
326	8999	18522
327	9031	18503
328	9057	18473
329	9083	18441
330	9114	18422
331	9143	18398
332	9170	18369
333	9198	18341
334	9225	18313
335	9253	18285
336	9278	18255
337	9306	18228
338	9330	18193
339	9356	18162
340	9381	18131
341	9408	18101
342	9434	18072
343	9463	18046
344	9488	18014
345	9515	17985
346	9543	17958
347	9573	17936
348	9601	17910
349	9629	17883
350	9654	17851
351	9680	17821
352	9708	17794
353	9729	17755
354	9752	17719
355	9776	17686
356	9802	17655
357	9833	17634
358	9856	17599
359	9886	17575
360	9909	17540
361	9939	17518
362	9970	17497
363	9997	17468
364	10024	17440
365	10051	17411
366	10078	17382
367	10109	17362
368	10139	17339
369	10169	17315
370	10196	17288
371	10225	17262
372	10250	17231
373	10276	17200
374	10305	17175
375	10332	17147
376	10358	17118
377	10395	17105
378	10422	17077
379	10453	17055
380	10480	17028
381	10509	17001
382	10536	16973
383	10564	16947
384	10591	16919
385	10617	16889
386	10639	16852
387	10662	16818
388	10684	16781
389	10706	16746
390	10729	16711
391	10756	16683
392	10781	16652
393	10804	16618
394	10831	16589
395	10861	16566
396	10888	16538
397	10914	16508
398	10935	16471
399	10960	16441
400	10981	16404
401	11004	16369
402	11027	16335
403	11051	16304
404	11079	16277
405	11110	16255
406	11136	16226
407	11165	16201
408	11192	16173
409	11220	16146
410	11251	16124
411	11277	16095
412	11304	16066
413	11328	16034
414	11351	16000
415	11375	15968
416	11395	15932
417	11415	15894
418	11437	15859
419	11460	15826
420	11485	15795
421	11512	15767
422	11531	15729
423	11555	15697
424	11578	15665
425	11605	15637
426	11630	15607
427	11654	15575
428	11676	15542
429	11703	15514
430	11727	15482
431	11754	15454
432	11780	15425
433	11808	15400
434	11832	15368
435	11858	15340
436	11884	15310
437	11910	15281
438	11935	15252
439	11963	15226
440	11989	15197
441	12015	15169
442	12042	15141
443	12066	15109
444	12090	15079
445	12118	15052
446	12145	15026
447	12173	14999
448	12199	14970
449	12231	14949
450	12256	14920
451	12281	14890
452	12305	14859
453	12329	14827
454	12355	14799
455	12386	14776
456	12407	14742
457	12432	14713
458	12456	14681
459	12482	14653
460	12508	14624
461	12527	14588
462	12548	14554
463	12569	14520
